2020-08-31 18:46:33 configure lsof:amd64 4.91+dfsg-1 <none>
2020-08-31 18:46:33 status unpacked lsof:amd64 4.91+dfsg-1
2020-08-31 18:46:33 status half-configured lsof:amd64 4.91+dfsg-1
2020-08-31 18:46:33 status installed lsof:amd64 4.91+dfsg-1
2020-08-31 18:46:33 configure libmpx2:amd64 8.3.0-6 <none>
2020-08-31 18:46:33 status unpacked libmpx2:amd64 8.3.0-6
2020-08-31 18:46:33 status half-configured libmpx2:amd64 8.3.0-6
2020-08-31 18:46:33 status installed libmpx2:amd64 8.3.0-6
2020-08-31 18:46:33 configure libubsan1:amd64 8.3.0-6 <none>
2020-08-31 18:46:33 status unpacked libubsan1:amd64 8.3.0-6
2020-08-31 18:46:33 status half-configured libubsan1:amd64 8.3.0-6
2020-08-31 18:46:33 status installed libubsan1:amd64 8.3.0-6
2020-08-31 18:46:33 configure libisl19:amd64 0.20-2 <none>
2020-08-31 18:46:33 status unpacked libisl19:amd64 0.20-2
2020-08-31 18:46:33 status half-configured libisl19:amd64 0.20-2
2020-08-31 18:46:33 status installed libisl19:amd64 0.20-2
2020-08-31 18:46:33 configure git-man:all 1:2.20.1-2+deb10u3 <none>
2020-08-31 18:46:33 status unpacked git-man:all 1:2.20.1-2+deb10u3
2020-08-31 18:46:33 status half-configured git-man:all 1:2.20.1-2+deb10u3
2020-08-31 18:46:33 status installed git-man:all 1:2.20.1-2+deb10u3
2020-08-31 18:46:33 configure libssh2-1:amd64 1.8.0-2.1 <none>
2020-08-31 18:46:33 status unpacked libssh2-1:amd64 1.8.0-2.1
2020-08-31 18:46:33 status half-configured libssh2-1:amd64 1.8.0-2.1
